employee_id,department,company
1,Research and Development,Eidel
2,Business Development,Youopia
3,Business Development,Eayo
4,Services,LiveZ
5,Engineering,Photobug
6,Engineering,Rhyzio
7,Human Resources,Quinu
8,Marketing,Realmix
9,Marketing,Kazu
10,Services,Skinix
11,Business Development,Youfeed
12,Services,Edgepulse
13,Business Development,Edgeblab
14,Services,Avamm
15,Marketing,Realcube
16,Marketing,Blognation
17,Legal,Voonte
18,Engineering,LiveZ
19,Support,Yacero
20,Sales,Blogtags
21,Marketing,Edgewire
22,Legal,Feedbug
23,Research and Development,Skiptube
24,Accounting,Aimbu
25,Human Resources,Aibox
26,Services,Demizz
27,Business Development,Meetz
28,Business Development,Kimia
29,Services,Browsezoom
30,Services,Gigazoom
31,Accounting,Demimbu
32,Marketing,Mynte
33,Product Management,Npath
34,Product Management,Omba
35,Accounting,Trudeo
36,Engineering,Voomm
37,Support,Bubblemix
38,Marketing,Skyndu
39,Sales,Gigashots
40,Services,Quamba
41,Marketing,Ainyx
42,Support,Centimia
43,Research and Development,Vinte
44,Research and Development,Kwideo
45,Research and Development,Babbleblab
46,Product Management,Oba
47,Business Development,Ntags
48,Marketing,Dynabox
49,Sales,Yombu
50,Services,Bluezoom
51,Support,Jabbersphere
52,Marketing,Dazzlesphere
53,Sales,Edgewire
54,Business Development,BlogXS
55,Research and Development,JumpXS
56,Services,Rhyzio
57,Legal,Twiyo
58,Research and Development,Cogibox
59,Support,Realpoint
60,Research and Development,Avavee
61,Human Resources,Podcat
62,Business Development,Skyba
63,Support,Browsetype
64,Sales,Voonte
65,Services,Cogilith
66,Product Management,Brainsphere
67,Sales,Linkbuzz
68,Support,Dynava
69,Business Development,Kwilith
70,Training,Browsecat
71,Sales,Brightbean
72,Product Management,Devify
73,Engineering,Wikizz
74,Engineering,Blogtags
75,Human Resources,Voolia
76,Research and Development,Rooxo
77,Product Management,Blognation
78,Product Management,Jaxbean
79,Legal,Gigazoom
80,Research and Development,Skynoodle
81,Training,Pixoboo
82,Research and Development,Tanoodle
83,Accounting,Vipe
84,Services,Mymm
85,Engineering,Lazzy
86,Marketing,Thoughtbeat
87,Engineering,Kwimbee
88,Product Management,Youopia
89,Accounting,Browsedrive
90,Training,Devpoint
91,Legal,Zoombox
92,Support,Zooveo
93,Human Resources,Teklist
94,Research and Development,Avavee
95,Accounting,Quimm
96,Sales,Gabspot
97,Legal,Twitterwire
98,Services,InnoZ
99,Legal,Vipe
100,Product Management,Divavu
101,Marketing,Mita
102,Training,Realcube
103,Legal,Agimba
104,Engineering,Voonyx
105,Training,Eidel
106,Human Resources,Trunyx
107,Services,Tanoodle
108,Research and Development,Vipe
